Номер,Название,Статус
11,CPython platform support,Active
20,The Zen of Python,Active
12,Sample reStructuredText PEP Template,Active
101,Doing Python Releases 101,Active
13,Python Language Governance,Active
8,Style Guide for Python Code,Active
1,PEP Purpose and Guidelines,Active
100,Python Unicode Integration,Final
10,Voting Guidelines,Active
9,Sample Plaintext PEP Template,Withdrawn
6,Bug Fix Releases,Active
4,Deprecation of Standard Modules,Active
5,Guidelines for Language Evolution,Active
3,Guidelines for Handling Bug Reports,Withdrawn
7,Style Guide for C Code,Active
42,Feature Requests,Withdrawn
208,Reworking the Coercion Model,Final
207,Rich Comparisons,Final
206,Python Advanced Library,Withdrawn
203,Augmented Assignments,Final
204,Range Literals,Rejected
205,Weak References,Final
201,Lockstep Iteration,Final
2,Procedure for Adding New Modules,Superseded
103,Collecting information about git,Withdrawn
160,Python 1.6 Release Schedule,Final
202,List Comprehensions,Final
200,Python 2.0 Release Schedule,Final
102,Doing Python Micro Releases,Superseded
